quarter,transaction_based_revenue,subscription_and_services_revenue,bitcoin_revenue,total_revenue,percent_bitcoin_revenue,cost_of_revenue,gross_profit
3/31/2019,"15,280","96,594","65,528","177,402",36.94%,"92,591","84,811"
6/30/2019,"16,966","118,442","125,085","260,493",48.02%,"155,152","105,341"
9/30/2019,"19,216","139,539","148,285","307,040",48.30%,"183,550","123,490"
12/31/2019,"21,403","161,694","177,567","360,664",49.23%,"216,638","144,026"
3/31/2020,"27,819","193,725","306,098","527,642",58.01%,"344,910","182,732"
6/30/2020,"53,657","271,156","875,456","1,200,269",72.94%,"919,206","281,063"
9/30/2020,"80,721","354,110","1,633,764","2,068,595",78.98%,"1,683,471","385,124"
12/31/2020,"71,550","344,105","1,756,225","2,171,880",80.86%,"1,795,221","376,659"
3/31/2021,"91,959","436,589","3,511,068","4,039,616",86.92%,"3,544,131","495,485"
6/30/2021,"110,950","494,945","2,724,296","3,330,191",81.81%,"2,784,138","546,053"
9/30/2021,"103,192","474,778","1,815,662","2,393,632",75.85%,"1,881,916","511,716"
12/31/2021,"103,743","486,695","1,961,621","2,552,060",76.86%,"2,034,467","517,593"
3/31/2022,"109,241","687,191","1,730,793","2,527,225",68.49%,"1,857,426","669,800"
6/30/2022,"116,068","824,243","1,785,885","2,726,196",65.51%,"1,946,479","779,717"
9/30/2022,"118,459","908,640","1,762,752","2,789,851",63.18%,"1,940,516","849,335"
12/31/2022,"122,403","1,032,702","1,833,426","2,988,531",61.35%,"2,042,341","946,190"
3/31/2023,"134,663","1,085,749","2,163,751","3,384,163",63.94%,"2,374,209","1,009,954"
6/30/2023,"133,741","1,148,541","2,390,884","3,673,166",65.09%,"2,620,881","1,052,285"
9/30/2023,"120,783","1,169,561","2,423,584","3,713,928",65.26%,"2,636,439","1,077,490"
12/31/2023,"108,990","1,281,357","2,520,083","3,910,430",64.45%,"2,726,696","1,183,734"